39,187
183,65
23,187
176,118
128,45
20,196
136,85
11,141
61,183
51,88
146,140
137,169
17,191
68,187
81,167
154,138
174,88
175,82
67,9
18,9
96,110
183,110
150,81
135,62
73,62
157,138
184,88
39,81
93,22
83,63
81,8
20,162
165,198
133,16
158,145
18,99
19,137
99,145
91,20
143,157
19,8
166,142
129,155
136,7
97,129
89,10
89,142
90,10
15,81
185,55
37,63
83,163
179,60
129,56
132,20
28,7
11,91
26,192
146,6
42,187
24,97
20,108
168,11
25,61
82,179
22,88
14,166
160,79
24,166
167,136
27,86
190,120
122,169
102,144
175,65
143,184
101,25
166,138
131,38
178,85
140,9
157,187
165,142
86,60
23,95
140,80
180,103
120,89
163,79
102,127
162,13
89,116
17,85
180,183
31,29
140,149
81,181
85,113
154,82
144,193
160,193
142,149
183,129
50,89
165,141
50,188
125,175
168,19
80,179
128,158
128,185
186,89
92,58
26,102
176,6
81,173
131,45
143,142
85,161
96,133
96,57
140,85
134,91
85,169
134,24
142,89
89,176
127,169
139,175
185,91
130,185
96,125
88,58
76,10
59,90
125,153
166,8
78,175
127,84
120,87
181,11
77,60
136,84
137,149
16,128
179,9
120,96
173,96
68,9
25,124
166,137
140,178
95,152
191,12
158,77
100,23
25,182
21,184
184,9
133,187
141,142
181,35
11,134
156,145
192,119
66,94
184,110
73,94
45,187
161,134
96,148
185,126
174,82
93,169
114,53
26,191
182,62
132,7
32,196
171,91
25,6
83,93
20,150
81,179
101,155
158,189
81,93
42,80
31,32
17,170
95,32
152,199
73,14
129,45
70,19
15,96
131,14
21,197
135,86
135,92
20,11
179,92
132,165
123,98
63,29
59,79
86,97
59,83
50,193
36,32
82,9
81,91
12,175
136,61
14,61
128,9
32,7
35,32
127,94
86,168
35,7
140,150
86,120
176,28
25,170
166,193
25,194
116,7
162,12
26,94
40,83
65,46
69,181
11,125
86,137
50,8
193,42
54,86
148,80
101,39
12,86
67,55
129,32
13,187
171,136
175,129
40,191
20,17
34,11
10,168
11,99
52,79
12,80
182,65
175,28
157,190
190,112
190,36
136,171
27,21
58,80
17,185
167,60
38,36
141,155
149,146
72,185
23,143
148,137
96,109
25,149
13,192
135,143
37,9
101,141
157,78
16,178
151,151
187,12
165,83
19,186
183,29
60,193
136,194
60,190
154,145
50,84
127,165
66,47
186,64
94,144
144,189
134,43
22,20
86,140
